,Distance (km),Distance (km).1,Distance (km).2,Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault.1,Active Wells,P&A Wells,Caisson Platform.1,Major Platform,Well Protector Platform.1,Pipeline.1,Salt dome.1,EOR Wells,Shipping Route (w/10 mi Buffer).1,Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S3,Viability_score1_quartile,Viability_score3_quartile
74,118.7551281,102.7443078,149.2476623,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0.0,0.0,0,1726869.1,3142,3142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0485,0.0,100.0,49.3486,100.0,49.3486,0.0,100.0,100.0,100.0,0.0,0.3746,27.86561705,17.04980701,25,25
75,101.5206726,86.43419023,155.1318752,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.4453,0.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,27.42129324,15.31671354,25,25
76,107.9984322,92.72800495,158.4550623,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0.0,0.0,0,11233399.48,12343,4114.333333,4.4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7989,0.0,87.9791,49.9143,87.9791,49.9143,0.0,100.0,100.0,100.0,4.2383,8.3313,30.23962425,18.88825288,25,25
77,104.8358568,90.56779311,148.0936074,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,4,24.77,2236.34,2102,708.18,177.045,0.0,0.0,0,13795828.89,17431,4357.75,5.9245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5784,100.0,84.9697,55.2884,84.9697,55.2884,0.0,100.0,100.0,0.0,6.7922,10.476,30.13460449,15.03002479,25,25
78,111.1205259,96.58907334,151.5690402,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,18.94,1474.74,1263,583.48,194.4933333,0.0,0.0,0,11233399.48,12343,4114.333333,4.4579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9941,100.0,87.9791,49.9143,87.9791,49.9143,0.0,100.0,100.0,100.0,4.2383,8.3313,32.9591369,18.60776553,25,25
79,114.5559946,99.13782263,156.4869594,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0.0,0.0,0,7856433.98,6539,3269.5,3.3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.9973,0.0,98.4237,49.2839,98.4237,49.2839,0.0,100.0,99.5798,0.0,2.0055,5.5049,24.20305488,14.1715671,25,25
80,121.1804043,105.6425283,149.3574098,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0.0,0.0,0,1726869.1,3142,3142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0932,0.0,100.0,49.3486,100.0,49.3486,0.0,100.0,100.0,100.0,0.0,0.3746,27.87008738,17.05427734,25,25
81,117.5039821,102.7546681,155.2909299,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0.0,0.0,0,7856433.98,6539,3269.5,3.3132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5101,100.0,98.4237,49.2839,98.4237,49.2839,0.0,100.0,100.0,100.0,2.0055,5.5049,32.16274055,18.15226117,25,25
82,123.9709655,109.040098,149.8860816,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0.0,0.0,0,1726869.1,3142,3142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3085,100.0,100.0,49.3486,100.0,49.3486,0.0,100.0,100.0,100.0,0.0,0.3746,30.89162169,17.07581165,25,25
83,82.57690671,74.6697573,127.2209919,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0764,100.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,0.0,12.664,13.4876,34.29896948,15.24583942,25,25
84,89.07896686,79.33131757,131.9243001,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,4.7619,0.0,0.0,52.9922,100.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,0.0,12.664,13.4876,34.49054866,15.67551384,25,25
85,85.90394294,80.99558551,122.0007902,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,7,36.72,5079.91,4842,896.63,128.09,0.0,0.0,0,18673317.96,44807,6401.0,8.9308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9501,100.0,59.7091,70.3668,59.7091,70.3668,0.0,100.0,99.5798,0.0,16.3275,14.5583,35.62951922,15.57188755,25,25
86,92.17160206,85.30960691,124.588447,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0041,100.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,0.0,12.664,13.4876,34.19173841,15.13860835,25,25
87,95.67329268,84.34115592,134.6962853,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1213,100.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,0.0,12.664,13.4876,34.60345954,15.55032948,25,25
88,102.3420522,89.64089642,137.7778541,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3765,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,33.21051716,15.12040773,25,25
89,98.55922496,89.98443087,127.5181786,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1975,100.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,100.0,12.664,13.4876,39.31107475,19.25794469,25,25
90,105.0449311,94.96678855,130.7669952,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,5,31.9,2932.66,2739,730.58,146.116,0.0,0.0,0,16089607.61,29958,5991.6,7.7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5208,100.0,64.7705,64.8147,64.7705,64.8147,0.0,100.0,100.0,0.0,9.1271,12.3958,32.92494485,14.83483542,25,25
91,89.67847715,87.58118571,114.5787655,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,4,8,47.33,5825.12,5022,932.83,116.60375,0.0,0.0,0,25946823.96,52700,6587.5,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.9269,100.0,57.4034,73.9047,57.4034,73.9047,0.0,100.0,99.5798,0.0,18.8263,20.646,37.67653586,16.29995928,25,25
92,95.69924805,91.5831118,117.328516,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0.0,0.0,0,17394065.31,37178,6196.333333,8.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0469,0.0,62.2393,67.5619,62.2393,67.5619,0.0,100.0,100.0,0.0,12.664,13.4876,30.89602068,14.84289062,25,25
